customer_id;first_name;last_name;age;gender;past_3_years_bike_related_purchases;job_title;job_industry_category;wealth_segment;deceased_iNodicator;tenure;address;postcode;state;country;owns_car;property_valuation
2302;Loraine;Beamish;18;Female;43;Mechanical Systems Engineer;Retail;Mass Customer;No;4;4 Delaware Terrace;3804;victoria;Australia;Yes;8
2549;Mike;Geggus;19;Male;12;Pharmacist;Health;Mass Customer;No;4;01 Burning Wood Terrace;2323;New South Wales;Australia;Yes;9
704;Lindsay;Acaster;19;Female;49;Research Nurse;Health;Mass Customer;No;4;70836 Colorado Plaza;2571;New South Wales;Australia;No;11
772;Lorianna;Vidyapin;19;Female;12;Community Outreach Specialist;Entertainment;Mass Customer;No;4;50851 Vahlen Avenue;2567;New South Wales;Australia;No;7
1459;Haydon;Berkery;19;Male;89;Senior Sales Associate;Manufacturing;Mass Customer;No;4;1435 Lukken Trail;2570;New South Wales;Australia;No;8
1680;Loise;Austins;19;Female;5;Desktop Support Technician;Property;Mass Customer;No;4;018 Superior Plaza;2068;New South Wales;Australia;Yes;10
1714;Esma;Rycroft;19;Female;80;Senior Sales Associate;Property;High Net Worth;No;4;20415 Clyde Gallagher Parkway;2333;New South Wales;Australia;Yes;5
1736;Garrek;Rowbotham;19;Male;83;Associate Professor;IT;Affluent Customer;No;4;2538 Gateway Pass;4152;Queensland;Australia;No;4
1408;Kendricks;Plastow;20;Male;14;Dental Hygienist;Health;High Net Worth;No;4;6 Anderson Court;2880;New South Wales;Australia;No;1
1410;Althea;Macvey;20;Female;10;Marketing Manager;Retail;High Net Worth;No;6;4370 Haas Trail;2870;New South Wales;Australia;Yes;5
1295;Irving;Murton;20;Male;66;Nurse;Argiculture;Mass Customer;No;5;07780 Autumn Leaf Drive;4209;Queensland;Australia;Yes;7
1025;Ario;Jeromson;20;Male;69;Quality Engineer;IT;Mass Customer;No;5;4885 Stone Corner Alley;3046;victoria;Australia;Yes;8
1197;Isobel;Lampett;20;Female;44;Professor;Financial Services;High Net Worth;No;5;05 Daystar Lane;2560;New South Wales;Australia;Yes;8
965;Meggie;Whitchurch;20;Female;86;Structural Engineer;Retail;High Net Worth;No;5;5 Hintze Hill;2641;New South Wales;Australia;Yes;1
103;Ethyl;Runham;20;Female;49;Product Engineer;Financial Services;Affluent Customer;No;4;68 Little Fleur Crossing;2046;New South Wales;Australia;Yes;12
134;Merna;McCulloch;20;Female;34;Legal Assistant;Telecommunications;Affluent Customer;No;5;1605 Northfield Junction;2158;New South Wales;Australia;Yes;11
145;Filippo;Ferrara;20;Male;33;Account Executive;Financial Services;Mass Customer;No;4;7245 Cottonwood Center;2285;New South Wales;Australia;No;5
320;Aldous;Cubin;20;Male;19;Registered Nurse;Health;Mass Customer;No;4;1108 Nevada Junction;4701;Queensland;Australia;No;2
2550;Dionysus;Elmhurst;20;Male;34;Pharmacist;Health;Mass Customer;No;4;92427 Norway Maple Street;3000;victoria;Australia;Yes;6
2738;Lurleen;Shoebridge;20;Female;77;Research Nurse;Health;Mass Customer;No;5;8476 Village Green Park;2774;New South Wales;Australia;No;9
2298;Brigham;Vyse;20;Male;64;Environmental Tech;Property;Mass Customer;No;5;974 Fisk Alley;3977;victoria;Australia;Yes;4
2686;Cully;Takos;21;Male;63;Automation Specialist II;Financial Services;Affluent Customer;No;4;16639 Bunting Circle;3174;victoria;Australia;No;8
2566;Nani;Brilleman;21;Female;48;Accountant II;Entertainment;Affluent Customer;No;6;54 Miller Parkway;3041;victoria;Australia;Yes;8
3031;Diego;Bertelmot;21;Male;95;Staff Scientist;Health;Mass Customer;No;5;50 7th Circle;4305;Queensland;Australia;Yes;1
3143;Corabelle;Streatfeild;21;Female;0;Chief Design Engineer;Manufacturing;Mass Customer;No;5;332 Summerview Park;3000;victoria;Australia;No;8
3431;York;Calbreath;21;Male;97;Community Outreach Specialist;Property;Affluent Customer;No;5;373 Cordelia Trail;3500;victoria;Australia;No;1
3477;Jaquelin;Leek;21;Female;90;Senior Developer;Financial Services;Affluent Customer;No;7;3 Roxbury Street;2261;New South Wales;Australia;Yes;7
213;Lockwood;Exroll;21;Male;13;Actuary;Financial Services;High Net Worth;No;6;6327 Lunder Crossing;4655;Queensland;Australia;Yes;4
56;Reese;Ensor;21;Male;44;VP Sales;Property;Mass Customer;No;4;690 Glacier Hill Circle;2127;New South Wales;Australia;Yes;10
933;Melany;L'oiseau;21;Female;75;Help Desk Operator;Retail;Mass Customer;No;5;243 Ridge Oak Center;2195;New South Wales;Australia;Yes;9
934;Marcellus;Louisot;21;Male;76;Human Resources Manager;Manufacturing;Mass Customer;No;6;4 Eastlawn Crossing;2036;New South Wales;Australia;No;12
1144;Damon;Phelip;21;Male;73;Environmental Specialist;Health;High Net Worth;No;5;4439 7th Terrace;2177;New South Wales;Australia;Yes;9
1447;Renaldo;Maudsley;21;Male;29;Civil Engineer;Manufacturing;Mass Customer;No;4;89684 Coolidge Hill;2630;New South Wales;Australia;No;1
1779;Krishnah;Firmage;21;Male;55;Information Systems Manager;Argiculture;Affluent Customer;No;5;6238 Hanover Crossing;3141;victoria;Australia;No;7
